丸　佳浩, (広), 左打ち, 143試合, 打率0.291, 652打席, 162安打, 20本塁打, 90打点, 107三振, 長打率0.481
中田　翔, (日), 右打ち, 141試合, 打率0.250, 624打席, 142安打, 25本塁打, 110打点, 126三振, 長打率0.431
ウィーラー, (楽), 右打ち, 140試合, 打率0.265, 589打席, 137安打, 27本塁打, 88打点, 123三振, 長打率0.478
ゴメス, (神), 右打ち, 139試合, 打率0.255, 554打席, 127安打, 22本塁打, 79打点, 130三振, 長打率0.428
西川　遥輝, (日), 左打ち, 138試合, 打率0.314, 593打席, 155安打, 5本塁打, 43打点, 113三振, 長打率0.398
今宮　健太, (ソ), 右打ち, 137試合, 打率0.245, 590打席, 122安打, 10本塁打, 56打点, 86三振, 長打率0.370
坂本　勇人, (巨), 右打ち, 137試合, 打率0.344, 576打席, 168安打, 23本塁打, 75打点, 67三振, 長打率0.555
メヒア, (西), 右打ち, 137試合, 打率0.252, 583打席, 129安打, 35本塁打, 103打点, 148三振, 長打率0.509
栗山　巧, (西), 左打ち, 135試合, 打率0.279, 569打席, 133安打, 3本塁打, 41打点, 87三振, 長打率0.369
デスパイネ, (ロ), 右打ち, 134試合, 打率0.280, 570打席, 139安打, 24本塁打, 92打点, 89三振, 長打率0.480
_山　俊, (神), 左打ち, 134試合, 打率0.275, 530打席, 136安打, 8本塁打, 65打点, 109三振, 長打率0.391
筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
桑原　将志, (デ), 右打ち, 133試合, 打率0.284, 522打席, 131安打, 11本塁打, 49打点, 93三振, 長打率0.413
山田　哲人, (ヤ), 右打ち, 133試合, 打率0.304, 590打席, 146安打, 38本塁打, 102打点, 101三振, 長打率0.607
バレンティン, (ヤ), 右打ち, 132試合, 打率0.269, 537打席, 123安打, 31本塁打, 96打点, 116三振, 長打率0.516
新井　貴浩, (広), 右打ち, 132試合, 打率0.300, 513打席, 136安打, 19本塁打, 101打点, 101三振, 長打率0.485
福留　孝介, (神), 左打ち, 131試合, 打率0.311, 523打席, 141安打, 11本塁打, 59打点, 78三振, 長打率0.453
堂上　直倫, (中), 右打ち, 131試合, 打率0.254, 507打席, 116安打, 6本塁打, 46打点, 69三振, 長打率0.362
田村　龍弘, (ロ), 右打ち, 130試合, 打率0.256, 430打席, 95安打, 2本塁打, 38打点, 91三振, 長打率0.332
陽　岱鋼, (日), 右打ち, 130試合, 打率0.293, 555打席, 145安打, 14本塁打, 61打点, 121三振, 長打率0.430
鈴木　誠也, (広), 右打ち, 129試合, 打率0.335, 528打席, 156安打, 29本塁打, 95打点, 79三振, 長打率0.612
金子　侑司, (西), 両打ち, 129試合, 打率0.265, 520打席, 122安打, 1本塁打, 33打点, 69三振, 長打率0.311
小林　誠司, (巨), 右打ち, 129試合, 打率0.204, 458打席, 81安打, 4本塁打, 35打点, 76三振, 長打率0.269
岡島　豪郎, (楽), 左打ち, 127試合, 打率0.252, 485打席, 106安打, 6本塁打, 35打点, 49三振, 長打率0.345
銀次, (楽), 左打ち, 125試合, 打率0.274, 497打席, 116安打, 2本塁打, 43打点, 49三振, 長打率0.333
戸柱　恭孝, (デ), 左打ち, 124試合, 打率0.226, 393打席, 83安打, 2本塁打, 23打点, 63三振, 長打率0.264
Ｔ−岡田, (オ), 左打ち, 123試合, 打率0.284, 513打席, 129安打, 20本塁打, 76打点, 105三振, 長打率0.471
ギャレット, (巨), 左打ち, 123試合, 打率0.258, 465打席, 109安打, 24本塁打, 68打点, 106三振, 長打率0.486
ロペス, (デ), 右打ち, 123試合, 打率0.263, 518打席, 127安打, 34本塁打, 95打点, 75三振, 長打率0.534
北條　史也, (神), 右打ち, 122試合, 打率0.273, 438打席, 105安打, 5本塁打, 33打点, 91三振, 長打率0.382
長谷川　勇也, (ソ), 左打ち, 122試合, 打率0.271, 442打席, 105安打, 10本塁打, 51打点, 95三振, 長打率0.403
岡田　幸文, (ロ), 左打ち, 121試合, 打率0.275, 356打席, 90安打, 0本塁打, 18打点, 42三振, 長打率0.315
藤田　一也, (楽), 左打ち, 120試合, 打率0.265, 449打席, 108安打, 0本塁打, 46打点, 44三振, 長打率0.321
柳田　悠岐, (ソ), 左打ち, 120試合, 打率0.306, 536打席, 131安打, 18本塁打, 73打点, 97三振, 長打率0.523
ビシエド, (中), 右打ち, 119試合, 打率0.274, 471打席, 114安打, 22本塁打, 68打点, 68三振, 長打率0.486
安達　了一, (オ), 右打ち, 118試合, 打率0.273, 488打席, 110安打, 1本塁打, 34打点, 53三振, 長打率0.323
平田　良介, (中), 右打ち, 118試合, 打率0.248, 494打席, 103安打, 14本塁打, 73打点, 89三振, 長打率0.411
茂木　栄五郎, (楽), 左打ち, 117試合, 打率0.278, 481打席, 118安打, 7本塁打, 40打点, 95三振, 長打率0.408
炭谷　銀仁_, (西), 右打ち, 117試合, 打率0.218, 326打席, 64安打, 1本塁打, 22打点, 48三振, 長打率0.269
細谷　圭, (ロ), 右打ち, 116試合, 打率0.275, 404打席, 102安打, 3本塁打, 40打点, 93三振, 長打率0.383
安部　友裕, (広), 左打ち, 115試合, 打率0.282, 292打席, 73安打, 6本塁打, 33打点, 64三振, 長打率0.429
島内　宏明, (楽), 左打ち, 114試合, 打率0.287, 388打席, 98安打, 9本塁打, 41打点, 48三振, 長打率0.404
大和, (神), 右打ち, 111試合, 打率0.231, 259打席, 53安打, 1本塁打, 20打点, 53三振, 長打率0.323
本多　雄一, (ソ), 左打ち, 110試合, 打率0.280, 388打席, 93安打, 1本塁打, 27打点, 51三振, 長打率0.322
大野　奨太, (日), 右打ち, 109試合, 打率0.245, 351打席, 69安打, 5本塁打, 35打点, 63三振, 長打率0.344
中村　奨吾, (ロ), 右打ち, 108試合, 打率0.201, 325打席, 56安打, 6本塁打, 25打点, 70三振, 長打率0.309
中村　剛也, (西), 右打ち, 108試合, 打率0.238, 432打席, 92安打, 21本塁打, 61打点, 125三振, 長打率0.447
雄平, (ヤ), 左打ち, 108試合, 打率0.296, 436打席, 122安打, 7本塁打, 55打点, 51三振, 長打率0.396
森　友哉, (西), 左打ち, 107試合, 打率0.292, 392打席, 102安打, 10本塁打, 46打点, 96三振, 長打率0.436
原口　文仁, (神), 右打ち, 107試合, 打率0.299, 364打席, 95安打, 11本塁打, 46打点, 52三振, 長打率0.453
梶谷　隆幸, (デ), 左打ち, 107試合, 打率0.273, 450打席, 108安打, 18本塁打, 56打点, 110三振, 長打率0.480
清田　育宏, (ロ), 右打ち, 106試合, 打率0.225, 417打席, 82安打, 6本塁打, 38打点, 76三振, 長打率0.326
中村　悠平, (ヤ), 右打ち, 106試合, 打率0.187, 378打席, 60安打, 3本塁打, 37打点, 47三振, 長打率0.259
石原　慶幸, (広), 右打ち, 106試合, 打率0.202, 289打席, 49安打, 0本塁打, 17打点, 54三振, 長打率0.230
駿太, (オ), 左打ち, 105試合, 打率0.192, 239打席, 41安打, 1本塁打, 9打点, 40三振, 長打率0.229
杉山　翔大, (中), 右打ち, 104試合, 打率0.260, 311打席, 70安打, 3本塁打, 27打点, 60三振, 長打率0.357
大谷　翔平, (日), 左打ち, 104試合, 打率0.322, 382打席, 104安打, 22本塁打, 67打点, 98三振, 長打率0.588
川端　慎吾, (ヤ), 左打ち, 103試合, 打率0.302, 458打席, 127安打, 1本塁打, 32打点, 31三振, 長打率0.367
松山　竜平, (広), 左打ち, 103試合, 打率0.291, 275打席, 74安打, 10本塁打, 41打点, 29三振, 長打率0.465
鶴岡　慎也, (ソ), 右打ち, 103試合, 打率0.251, 263打席, 58安打, 2本塁打, 26打点, 26三振, 長打率0.346
宮_　敏郎, (デ), 右打ち, 101試合, 打率0.291, 335打席, 88安打, 11本塁打, 36打点, 30三振, 長打率0.454
大引　啓次, (ヤ), 右打ち, 100試合, 打率0.250, 391打席, 87安打, 5本塁打, 27打点, 82三振, 長打率0.345
中島　宏之, (オ), 右打ち, 96試合, 打率0.290, 347打席, 91安打, 8本塁打, 47打点, 54三振, 長打率0.439
エルドレッド, (広), 右打ち, 95試合, 打率0.294, 354打席, 93安打, 21本塁打, 53打点, 86三振, 長打率0.538
石川　雄洋, (デ), 左打ち, 95試合, 打率0.209, 329打席, 62安打, 2本塁打, 14打点, 67三振, 長打率0.269
今浪　隆博, (ヤ), 左打ち, 94試合, 打率0.279, 240打席, 56安打, 1本塁打, 28打点, 25三振, 長打率0.368
聖澤　諒, (楽), 左打ち, 94試合, 打率0.294, 229打席, 59安打, 3本塁打, 19打点, 41三振, 長打率0.388
モレル, (オ), 右打ち, 94試合, 打率0.244, 348打席, 75安打, 8本塁打, 38打点, 88三振, 長打率0.364
荒木　雅博, (中), 右打ち, 93試合, 打率0.246, 321打席, 71安打, 1本塁打, 16打点, 39三振, 長打率0.291
白崎　浩之, (デ), 右打ち, 92試合, 打率0.207, 214打席, 42安打, 6本塁打, 12打点, 32三振, 長打率0.350
ナニータ, (中), 左打ち, 92試合, 打率0.285, 340打席, 91安打, 8本塁打, 35打点, 52三振, 長打率0.411
阿部　慎之助, (巨), 左打ち, 91試合, 打率0.310, 387打席, 104安打, 12本塁打, 52打点, 55三振, 長打率0.457
福田　永将, (中), 右打ち, 89試合, 打率0.267, 306打席, 72安打, 10本塁打, 37打点, 42三振, 長打率0.407
赤松　真人, (広), 右打ち, 89試合, 打率0.368, 21打席, 7安打, 0本塁打, 3打点, 4三振, 長打率0.526
今江　敏晃, (楽), 右打ち, 89試合, 打率0.281, 351打席, 89安打, 3本塁打, 23打点, 30三振, 長打率0.331
藤井　淳志, (中), 両打ち, 87試合, 打率0.216, 187打席, 36安打, 3本塁打, 19打点, 45三振, 長打率0.311
若月　健矢, (オ), 右打ち, 85試合, 打率0.227, 262打席, 52安打, 0本塁打, 20打点, 42三振, 長打率0.284
城所　龍磨, (ソ), 左打ち, 84試合, 打率0.264, 162打席, 39安打, 6本塁打, 19打点, 45三振, 長打率0.439
谷口　雄也, (日), 左打ち, 83試合, 打率0.254, 211打席, 49安打, 1本塁打, 9打点, 48三振, 長打率0.306
會澤　翼, (広), 右打ち, 83試合, 打率0.239, 220打席, 47安打, 7本塁打, 26打点, 42三振, 長打率0.381
今成　亮太, (神), 左打ち, 82試合, 打率0.227, 132打席, 27安打, 0本塁打, 5打点, 27三振, 長打率0.252
ナバーロ, (ロ), 右打ち, 82試合, 打率0.217, 340打席, 62安打, 10本塁打, 44打点, 64三振, 長打率0.350
クルーズ, (巨), 右打ち, 81試合, 打率0.252, 314打席, 75安打, 11本塁打, 37打点, 40三振, 長打率0.409
福田　秀平, (ソ), 左打ち, 81試合, 打率0.231, 239打席, 49安打, 3本塁打, 18打点, 51三振, 長打率0.335
伊藤　光, (オ), 右打ち, 80試合, 打率0.241, 203打席, 45安打, 3本塁打, 15打点, 36三振, 長打率0.326
加藤　翔平, (ロ), 両打ち, 80試合, 打率0.245, 246打席, 53安打, 0本塁打, 12打点, 46三振, 長打率0.310
近藤　健介, (日), 左打ち, 80試合, 打率0.265, 291打席, 68安打, 2本塁打, 27打点, 45三振, 長打率0.323
嶋　基宏, (楽), 右打ち, 80試合, 打率0.271, 256打席, 54安打, 2本塁打, 17打点, 43三振, 長打率0.357
小島　脩平, (オ), 左打ち, 79試合, 打率0.246, 219打席, 49安打, 0本塁打, 9打点, 29三振, 長打率0.307
鬼_　裕司, (西), 左打ち, 79試合, 打率0.253, 216打席, 48安打, 1本塁打, 17打点, 53三振, 長打率0.332
井口　資仁, (ロ), 右打ち, 79試合, 打率0.257, 176打席, 39安打, 5本塁打, 34打点, 50三振, 長打率0.408
エリアン, (デ), 両打ち, 79試合, 打率0.218, 274打席, 56安打, 5本塁打, 33打点, 57三振, 長打率0.339
吉村　裕基, (ソ), 右打ち, 78試合, 打率0.209, 206打席, 37安打, 5本塁打, 28打点, 46三振, 長打率0.328
小田　裕也, (オ), 左打ち, 78試合, 打率0.137, 58打席, 7安打, 0本塁打, 3打点, 19三振, 長打率0.137
比屋根　渉, (ヤ), 右打ち, 76試合, 打率0.230, 142打席, 29安打, 0本塁打, 5打点, 15三振, 長打率0.294
三木　亮, (ロ), 右打ち, 75試合, 打率0.185, 58打席, 10安打, 0本塁打, 2打点, 17三振, 長打率0.241
高橋　周平, (中), 左打ち, 75試合, 打率0.251, 283打席, 64安打, 4本塁打, 29打点, 84三振, 長打率0.369
工藤　隆人, (中), 左打ち, 74試合, 打率0.302, 72打席, 19安打, 0本塁打, 3打点, 14三振, 長打率0.365
橋本　到, (巨), 左打ち, 74試合, 打率0.233, 259打席, 51安打, 2本塁打, 20打点, 45三振, 長打率0.338
永江　恭平, (西), 左打ち, 74試合, 打率0.162, 84打席, 12安打, 0本塁打, 3打点, 24三振, 長打率0.176
西田　明央, (ヤ), 右打ち, 74試合, 打率0.243, 245打席, 54安打, 7本塁打, 25打点, 39三振, 長打率0.419
足立　祐一, (楽), 右打ち, 73試合, 打率0.227, 208打席, 42安打, 1本塁打, 14打点, 36三振, 長打率0.270
江越　大賀, (神), 右打ち, 72試合, 打率0.209, 217打席, 40安打, 7本塁打, 20打点, 78三振, 長打率0.361
西浦　直亨, (ヤ), 右打ち, 72試合, 打率0.255, 273打席, 63安打, 7本塁打, 28打点, 54三振, 長打率0.389
上田　剛史, (ヤ), 左打ち, 72試合, 打率0.220, 92打席, 18安打, 1本塁打, 10打点, 13三振, 長打率0.305
市川　友也, (日), 右打ち, 71試合, 打率0.165, 156打席, 22安打, 1本塁打, 12打点, 28三振, 長打率0.203
荻野　貴司, (ロ), 右打ち, 71試合, 打率0.250, 219打席, 48安打, 3本塁打, 21打点, 25三振, 長打率0.365
関根　大気, (デ), 左打ち, 70試合, 打率0.204, 106打席, 20安打, 0本塁打, 7打点, 18三振, 長打率0.235
秋吉　亮, (ヤ), 右打ち, 70試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
マシソン, (巨), 右打ち, 70試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
渡辺　直人, (西), 右打ち, 70試合, 打率0.309, 207打席, 56安打, 0本塁打, 16打点, 20三振, 長打率0.348
福山　博之, (楽), 右打ち, 69試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ルーキ, (ヤ), 右打ち, 69試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小窪　哲也, (広), 右打ち, 69試合, 打率0.217, 107打席, 20安打, 2本塁打, 10打点, 23三振, 長打率0.402
森野　将彦, (中), 左打ち, 68試合, 打率0.268, 170打席, 38安打, 1本塁打, 15打点, 24三振, 長打率0.331
ルナ, (広), 右打ち, 67試合, 打率0.272, 268打席, 66安打, 5本塁打, 34打点, 47三振, 長打率0.374
今村　猛, (広), 右打ち, 67試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ジャクソン, (広), 右打ち, 67試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
上本　達之, (西), 左打ち, 67試合, 打率0.307, 98打席, 27安打, 1本塁打, 12打点, 23三振, 長打率0.386
下園　辰哉, (デ), 左打ち, 67試合, 打率0.270, 85打席, 20安打, 1本塁打, 14打点, 13三振, 長打率0.338
狩野　恵輔, (神), 右打ち, 66試合, 打率0.241, 95打席, 21安打, 3本塁打, 17打点, 18三振, 長打率0.356
亀井　善行, (巨), 左打ち, 66試合, 打率0.252, 240打席, 57安打, 3本塁打, 23打点, 35三振, 長打率0.354
中谷　将大, (神), 右打ち, 64試合, 打率0.266, 163打席, 41安打, 4本塁打, 14打点, 49三振, 長打率0.390
エルナンデス, (中), 両打ち, 64試合, 打率0.249, 256打席, 58安打, 5本塁打, 26打点, 61三振, 長打率0.365
田原　誠次, (巨), 左打ち, 64試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
武隈　祥太, (西), 左打ち, 64試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大城　滉二, (オ), 右打ち, 64試合, 打率0.224, 177打席, 36安打, 0本塁打, 7打点, 38三振, 長打率0.261
サファテ, (ソ), 右打ち, 64試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
飯原　誉士, (ヤ), 右打ち, 63試合, 打率0.224, 77打席, 15安打, 3本塁打, 9打点, 19三振, 長打率0.403
吉田　正尚, (オ), 左打ち, 63試合, 打率0.290, 258打席, 67安打, 10本塁打, 34打点, 34三振, 長打率0.494
澤村　拓一, (巨), 右打ち, 63試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山口　鉄也, (巨), 左打ち, 63試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大田　泰示, (巨), 右打ち, 62試合, 打率0.202, 119打席, 23安打, 4本塁打, 13打点, 45三振, 長打率0.377
山下　幸輝, (デ), 左打ち, 62試合, 打率0.224, 100打席, 22安打, 0本塁打, 7打点, 18三振, 長打率0.265
須田　幸太, (デ), 右打ち, 62試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西川　龍馬, (広), 左打ち, 62試合, 打率0.294, 58打席, 15安打, 0本塁打, 3打点, 9三振, 長打率0.392
又吉　克樹, (中), 右打ち, 62試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
杉谷　拳士, (日), 両打ち, 62試合, 打率0.240, 138打席, 25安打, 0本塁打, 9打点, 23三振, 長打率0.308
田中　健二朗, (デ), 左打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中_　翔太, (広), 右打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
荒木　貴裕, (ヤ), 右打ち, 61試合, 打率0.243, 131打席, 27安打, 1本塁打, 9打点, 20三振, 長打率0.333
益田　直也, (ロ), 右打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ボグセビック, (オ), 左打ち, 60試合, 打率0.187, 193打席, 32安打, 3本塁打, 18打点, 48三振, 長打率0.322
田島　慎二, (中), 右打ち, 59試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山_　康晃, (デ), 右打ち, 59試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
三上　朋也, (デ), 右打ち, 59試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
亀澤　恭平, (中), 左打ち, 59試合, 打率0.226, 137打席, 28安打, 0本塁打, 5打点, 20三振, 長打率0.258
桂　依央利, (中), 右打ち, 59試合, 打率0.182, 164打席, 26安打, 3本塁打, 11打点, 38三振, 長打率0.280
松井　裕樹, (楽), 左打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
宮西　尚生, (日), 左打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
谷元　圭介, (日), 右打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平野　佳寿, (オ), 右打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
スアレス, (ソ), 右打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡田　俊哉, (中), 左打ち, 57試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
南　昌輝, (ロ), 右打ち, 57試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
森　唯斗, (ソ), 右打ち, 56試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松井　稼頭央, (楽), 両打ち, 56試合, 打率0.213, 179打席, 34安打, 2本塁打, 13打点, 42三振, 長打率0.300
阿部　俊人, (楽), 左打ち, 55試合, 打率0.185, 28打席, 5安打, 0本塁打, 2打点, 8三振, 長打率0.259
寺内　崇幸, (巨), 右打ち, 55試合, 打率0.129, 33打席, 4安打, 0本塁打, 1打点, 11三振, 長打率0.161
天谷　宗一郎, (広), 左打ち, 55試合, 打率0.175, 96打席, 14安打, 1本塁打, 8打点, 16三振, 長打率0.238
西岡　剛, (神), 両打ち, 55試合, 打率0.295, 205打席, 56安打, 0本塁打, 15打点, 25三振, 長打率0.342
乙坂　智, (デ), 左打ち, 55試合, 打率0.270, 124打席, 31安打, 1本塁打, 8打点, 28三振, 長打率0.374
塚原　頌平, (オ), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金刃　憲人, (楽), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
脇谷　亮太, (巨), 左打ち, 54試合, 打率0.157, 115打席, 17安打, 1本塁打, 7打点, 18三振, 長打率0.231
_橋　聡文, (神), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
吉田　一将, (オ), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松永　昂大, (ロ), 左打ち, 53試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
増田　達至, (西), 右打ち, 53試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松岡　健一, (ヤ), 右打ち, 53試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
_濱　卓也, (ロ), 左打ち, 53試合, 打率0.215, 158打席, 31安打, 3本塁打, 13打点, 30三振, 長打率0.319
松本　哲也, (巨), 左打ち, 52試合, 打率0.174, 77打席, 12安打, 0本塁打, 1打点, 22三振, 長打率0.217
淺間　大基, (日), 左打ち, 52試合, 打率0.191, 115打席, 21安打, 1本塁打, 9打点, 36三振, 長打率0.273
マテオ, (神), 右打ち, 52試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
谷　哲也, (中), 右打ち, 52試合, 打率0.207, 91打席, 17安打, 0本塁打, 6打点, 16三振, 長打率0.232
マーティン, (日), 右打ち, 52試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
村中　恭兵, (ヤ), 左打ち, 52試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
ペゲーロ, (楽), 左打ち, 51試合, 打率0.279, 200打席, 51安打, 10本塁打, 26打点, 67三振, 長打率0.492
三輪　正義, (ヤ), 左打ち, 51試合, 打率0.242, 41打席, 8安打, 0本塁打, 2打点, 10三振, 長打率0.303
立岡　宗一郎, (巨), 左打ち, 51試合, 打率0.229, 209打席, 43安打, 2本塁打, 9打点, 31三振, 長打率0.303
オコエ　瑠偉, (楽), 右打ち, 51試合, 打率0.185, 130打席, 22安打, 1本塁打, 6打点, 27三振, 長打率0.294
吉川　大幾, (巨), 両打ち, 50試合, 打率0.176, 56打席, 9安打, 0本塁打, 1打点, 14三振, 長打率0.176
青山　浩二, (楽), 右打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
海田　智行, (オ), 左打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ヘーゲンズ, (広), 右打ち, 50試合, 打率0.143, 14打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.143
森福　允彦, (ソ), 左打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
安藤　優也, (神), 右打ち, 50試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
牧田　和久, (西), 右打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
後藤　光尊, (楽), 左打ち, 50試合, 打率0.250, 138打席, 33安打, 2本塁打, 10打点, 30三振, 長打率0.341
小谷野　栄一, (オ), 右打ち, 50試合, 打率0.249, 189打席, 44安打, 4本塁打, 13打点, 30三振, 長打率0.350
小石　博孝, (西), 左打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
細川　亨, (ソ), 右打ち, 49試合, 打率0.226, 115打席, 21安打, 1本塁打, 6打点, 28三振, 長打率0.280
山川　穂高, (西), 右打ち, 49試合, 打率0.259, 157打席, 36安打, 14本塁打, 32打点, 36三振, 長打率0.590
鍵谷　陽平, (日), 右打ち, 48試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
下水流　昂, (広), 右打ち, 48試合, 打率0.250, 116打席, 26安打, 5本塁打, 18打点, 26三振, 長打率0.452
根元　俊一, (ロ), 左打ち, 48試合, 打率0.215, 121打席, 23安打, 2本塁打, 12打点, 30三振, 長打率0.327
