菊池　涼介, (広), 右打ち, 141試合, 打率0.315, 640打席, 181安打, 13本塁打, 56打点, 106三振, 長打率0.432
戸柱　恭孝, (デ), 左打ち, 124試合, 打率0.226, 393打席, 83安打, 2本塁打, 23打点, 63三振, 長打率0.264
小林　誠司, (巨), 右打ち, 129試合, 打率0.204, 458打席, 81安打, 4本塁打, 35打点, 76三振, 長打率0.269
クルーズ, (巨), 右打ち, 81試合, 打率0.252, 314打席, 75安打, 11本塁打, 37打点, 40三振, 長打率0.409
松山　竜平, (広), 左打ち, 103試合, 打率0.291, 275打席, 74安打, 10本塁打, 41打点, 29三振, 長打率0.465
安部　友裕, (広), 左打ち, 115試合, 打率0.282, 292打席, 73安打, 6本塁打, 33打点, 64三振, 長打率0.429
福田　永将, (中), 右打ち, 89試合, 打率0.267, 306打席, 72安打, 10本塁打, 37打点, 42三振, 長打率0.407
荒木　雅博, (中), 右打ち, 93試合, 打率0.246, 321打席, 71安打, 1本塁打, 16打点, 39三振, 長打率0.291
杉山　翔大, (中), 右打ち, 104試合, 打率0.260, 311打席, 70安打, 3本塁打, 27打点, 60三振, 長打率0.357
ルナ, (広), 右打ち, 67試合, 打率0.272, 268打席, 66安打, 5本塁打, 34打点, 47三振, 長打率0.374
高橋　周平, (中), 左打ち, 75試合, 打率0.251, 283打席, 64安打, 4本塁打, 29打点, 84三振, 長打率0.369
西浦　直亨, (ヤ), 右打ち, 72試合, 打率0.255, 273打席, 63安打, 7本塁打, 28打点, 54三振, 長打率0.389
石川　雄洋, (デ), 左打ち, 95試合, 打率0.209, 329打席, 62安打, 2本塁打, 14打点, 67三振, 長打率0.269
中村　悠平, (ヤ), 右打ち, 106試合, 打率0.187, 378打席, 60安打, 3本塁打, 37打点, 47三振, 長打率0.259
エルナンデス, (中), 両打ち, 64試合, 打率0.249, 256打席, 58安打, 5本塁打, 26打点, 61三振, 長打率0.365
亀井　善行, (巨), 左打ち, 66試合, 打率0.252, 240打席, 57安打, 3本塁打, 23打点, 35三振, 長打率0.354
西岡　剛, (神), 両打ち, 55試合, 打率0.295, 205打席, 56安打, 0本塁打, 15打点, 25三振, 長打率0.342
エリアン, (デ), 両打ち, 79試合, 打率0.218, 274打席, 56安打, 5本塁打, 33打点, 57三振, 長打率0.339
今浪　隆博, (ヤ), 左打ち, 94試合, 打率0.279, 240打席, 56安打, 1本塁打, 28打点, 25三振, 長打率0.368
西田　明央, (ヤ), 右打ち, 74試合, 打率0.243, 245打席, 54安打, 7本塁打, 25打点, 39三振, 長打率0.419
大和, (神), 右打ち, 111試合, 打率0.231, 259打席, 53安打, 1本塁打, 20打点, 53三振, 長打率0.323
橋本　到, (巨), 左打ち, 74試合, 打率0.233, 259打席, 51安打, 2本塁打, 20打点, 45三振, 長打率0.338
石原　慶幸, (広), 右打ち, 106試合, 打率0.202, 289打席, 49安打, 0本塁打, 17打点, 54三振, 長打率0.230
會澤　翼, (広), 右打ち, 83試合, 打率0.239, 220打席, 47安打, 7本塁打, 26打点, 42三振, 長打率0.381
立岡　宗一郎, (巨), 左打ち, 51試合, 打率0.229, 209打席, 43安打, 2本塁打, 9打点, 31三振, 長打率0.303
白崎　浩之, (デ), 右打ち, 92試合, 打率0.207, 214打席, 42安打, 6本塁打, 12打点, 32三振, 長打率0.350
中谷　将大, (神), 右打ち, 64試合, 打率0.266, 163打席, 41安打, 4本塁打, 14打点, 49三振, 長打率0.390
畠山　和洋, (ヤ), 右打ち, 45試合, 打率0.245, 190打席, 40安打, 1本塁打, 18打点, 24三振, 長打率0.325
江越　大賀, (神), 右打ち, 72試合, 打率0.209, 217打席, 40安打, 7本塁打, 20打点, 78三振, 長打率0.361
森野　将彦, (中), 左打ち, 68試合, 打率0.268, 170打席, 38安打, 1本塁打, 15打点, 24三振, 長打率0.331
藤井　淳志, (中), 両打ち, 87試合, 打率0.216, 187打席, 36安打, 3本塁打, 19打点, 45三振, 長打率0.311
鵜久森　淳志, (ヤ), 右打ち, 46試合, 打率0.257, 146打席, 35安打, 4本塁打, 19打点, 22三振, 長打率0.390
乙坂　智, (デ), 左打ち, 55試合, 打率0.270, 124打席, 31安打, 1本塁打, 8打点, 28三振, 長打率0.374
比屋根　渉, (ヤ), 右打ち, 76試合, 打率0.230, 142打席, 29安打, 0本塁打, 5打点, 15三振, 長打率0.294
亀澤　恭平, (中), 左打ち, 59試合, 打率0.226, 137打席, 28安打, 0本塁打, 5打点, 20三振, 長打率0.258
荒木　貴裕, (ヤ), 右打ち, 61試合, 打率0.243, 131打席, 27安打, 1本塁打, 9打点, 20三振, 長打率0.333
今成　亮太, (神), 左打ち, 82試合, 打率0.227, 132打席, 27安打, 0本塁打, 5打点, 27三振, 長打率0.252
桂　依央利, (中), 右打ち, 59試合, 打率0.182, 164打席, 26安打, 3本塁打, 11打点, 38三振, 長打率0.280
上本　博紀, (神), 右打ち, 45試合, 打率0.257, 113打席, 26安打, 2本塁打, 8打点, 14三振, 長打率0.386
下水流　昂, (広), 右打ち, 48試合, 打率0.250, 116打席, 26安打, 5本塁打, 18打点, 26三振, 長打率0.452
板山　祐太郎, (神), 左打ち, 40試合, 打率0.236, 115打席, 25安打, 0本塁打, 5打点, 31三振, 長打率0.302
ヘイグ, (神), 右打ち, 31試合, 打率0.231, 124打席, 24安打, 2本塁打, 11打点, 21三振, 長打率0.346
大田　泰示, (巨), 右打ち, 62試合, 打率0.202, 119打席, 23安打, 4本塁打, 13打点, 45三振, 長打率0.377
山下　幸輝, (デ), 左打ち, 62試合, 打率0.224, 100打席, 22安打, 0本塁打, 7打点, 18三振, 長打率0.265
狩野　恵輔, (神), 右打ち, 66試合, 打率0.241, 95打席, 21安打, 3本塁打, 17打点, 18三振, 長打率0.356
谷内　亮太, (ヤ), 右打ち, 23試合, 打率0.300, 80打席, 21安打, 1本塁打, 6打点, 14三振, 長打率0.414
下園　辰哉, (デ), 左打ち, 67試合, 打率0.270, 85打席, 20安打, 1本塁打, 14打点, 13三振, 長打率0.338
山本　泰寛, (巨), 右打ち, 27試合, 打率0.256, 86打席, 20安打, 0本塁打, 2打点, 20三振, 長打率0.346
小窪　哲也, (広), 右打ち, 69試合, 打率0.217, 107打席, 20安打, 2本塁打, 10打点, 23三振, 長打率0.402
横田　慎太郎, (神), 左打ち, 38試合, 打率0.190, 109打席, 20安打, 0本塁打, 4打点, 13三振, 長打率0.210
関根　大気, (デ), 左打ち, 70試合, 打率0.204, 106打席, 20安打, 0本塁打, 7打点, 18三振, 長打率0.235
工藤　隆人, (中), 左打ち, 74試合, 打率0.302, 72打席, 19安打, 0本塁打, 3打点, 14三振, 長打率0.365
片岡　治大, (巨), 右打ち, 32試合, 打率0.222, 93打席, 18安打, 2本塁打, 4打点, 8三振, 長打率0.333
上田　剛史, (ヤ), 左打ち, 72試合, 打率0.220, 92打席, 18安打, 1本塁打, 10打点, 13三振, 長打率0.305
脇谷　亮太, (巨), 左打ち, 54試合, 打率0.157, 115打席, 17安打, 1本塁打, 7打点, 18三振, 長打率0.231
荒波　翔, (デ), 左打ち, 36試合, 打率0.195, 96打席, 17安打, 0本塁打, 7打点, 17三振, 長打率0.241
谷　哲也, (中), 右打ち, 52試合, 打率0.207, 91打席, 17安打, 0本塁打, 6打点, 16三振, 長打率0.232
飯原　誉士, (ヤ), 右打ち, 63試合, 打率0.224, 77打席, 15安打, 3本塁打, 9打点, 19三振, 長打率0.403
西川　龍馬, (広), 左打ち, 62試合, 打率0.294, 58打席, 15安打, 0本塁打, 3打点, 9三振, 長打率0.392
_城　俊人, (デ), 右打ち, 47試合, 打率0.163, 103打席, 15安打, 0本塁打, 9打点, 31三振, 長打率0.185
重信　慎之介, (巨), 左打ち, 25試合, 打率0.190, 87打席, 15安打, 0本塁打, 2打点, 20三振, 長打率0.278
堂林　翔太, (広), 右打ち, 47試合, 打率0.250, 60打席, 14安打, 2本塁打, 2打点, 11三振, 長打率0.357
荒木　郁也, (神), 左打ち, 46試合, 打率0.246, 73打席, 14安打, 0本塁打, 2打点, 10三振, 長打率0.281
天谷　宗一郎, (広), 左打ち, 55試合, 打率0.175, 96打席, 14安打, 1本塁打, 8打点, 16三振, 長打率0.238
岡_　太一, (神), 右打ち, 38試合, 打率0.200, 76打席, 13安打, 0本塁打, 5打点, 16三振, 長打率0.246
伊藤　隼太, (神), 左打ち, 29試合, 打率0.245, 54打席, 13安打, 1本塁打, 4打点, 11三振, 長打率0.340
松本　哲也, (巨), 左打ち, 52試合, 打率0.174, 77打席, 12安打, 0本塁打, 1打点, 22三振, 長打率0.217
菅野　智之, (巨), 右打ち, 26試合, 打率0.222, 61打席, 12安打, 0本塁打, 3打点, 18三振, 長打率0.241
陽川　尚将, (神), 右打ち, 29試合, 打率0.167, 77打席, 12安打, 2本塁打, 4打点, 22三振, 長打率0.250
梅野　隆太郎, (神), 右打ち, 37試合, 打率0.135, 98打席, 12安打, 0本塁打, 4打点, 22三振, 長打率0.135
新井　良太, (神), 右打ち, 46試合, 打率0.154, 88打席, 12安打, 3本塁打, 8打点, 21三振, 長打率0.308
遠藤　一星, (中), 左打ち, 27試合, 打率0.180, 71打席, 11安打, 0本塁打, 3打点, 11三振, 長打率0.230
中井　大介, (巨), 右打ち, 43試合, 打率0.196, 61打席, 10安打, 0本塁打, 4打点, 13三振, 長打率0.275
相川　亮二, (巨), 右打ち, 37試合, 打率0.244, 48打席, 10安打, 0本塁打, 4打点, 10三振, 長打率0.293
阿部　寿樹, (中), 右打ち, 25試合, 打率0.184, 53打席, 9安打, 1本塁打, 4打点, 10三振, 長打率0.265
メッセンジャー, (神), 右打ち, 28試合, 打率0.138, 67打席, 9安打, 0本塁打, 3打点, 28三振, 長打率0.154
坂本　誠志郎, (神), 右打ち, 28試合, 打率0.200, 55打席, 9安打, 1本塁打, 2打点, 14三振, 長打率0.356
ジェフン, (ヤ), 右打ち, 17試合, 打率0.225, 42打席, 9安打, 0本塁打, 2打点, 12三振, 長打率0.275
吉川　大幾, (巨), 両打ち, 50試合, 打率0.176, 56打席, 9安打, 0本塁打, 1打点, 14三振, 長打率0.176
近藤　弘基, (中), 右打ち, 21試合, 打率0.186, 49打席, 8安打, 2本塁打, 4打点, 13三振, 長打率0.372
ロマック, (デ), 右打ち, 30試合, 打率0.113, 85打席, 8安打, 0本塁打, 2打点, 30三振, 長打率0.127
三輪　正義, (ヤ), 左打ち, 51試合, 打率0.242, 41打席, 8安打, 0本塁打, 2打点, 10三振, 長打率0.303
野本　圭, (中), 左打ち, 48試合, 打率0.163, 55打席, 8安打, 0本塁打, 7打点, 13三振, 長打率0.204
藤浪　晋太郎, (神), 右打ち, 26試合, 打率0.167, 57打席, 8安打, 0本塁打, 1打点, 30三振, 長打率0.250
石田　健大, (デ), 左打ち, 25試合, 打率0.182, 50打席, 8安打, 0本塁打, 3打点, 24三振, 長打率0.182
柴田　竜拓, (デ), 左打ち, 19試合, 打率0.205, 46打席, 8安打, 0本塁打, 2打点, 8三振, 長打率0.256
堂上　剛裕, (巨), 左打ち, 43試合, 打率0.167, 53打席, 8安打, 2本塁打, 6打点, 11三振, 長打率0.333
俊介, (神), 右打ち, 41試合, 打率0.186, 56打席, 8安打, 0本塁打, 2打点, 12三振, 長打率0.233
岩本　貴裕, (広), 左打ち, 27試合, 打率0.333, 22打席, 7安打, 0本塁打, 5打点, 8三振, 長打率0.524
實松　一成, (巨), 右打ち, 19試合, 打率0.250, 33打席, 7安打, 1本塁打, 1打点, 7三振, 長打率0.393
赤松　真人, (広), 右打ち, 89試合, 打率0.368, 21打席, 7安打, 0本塁打, 3打点, 4三振, 長打率0.526
井手　正太郎, (デ), 右打ち, 11試合, 打率0.259, 29打席, 7安打, 1本塁打, 4打点, 5三振, 長打率0.370
野間　峻祥, (広), 左打ち, 21試合, 打率0.292, 25打席, 7安打, 0本塁打, 1打点, 3三振, 長打率0.292
野村　祐輔, (広), 右打ち, 25試合, 打率0.163, 54打席, 7安打, 0本塁打, 3打点, 15三振, 長打率0.163
井領　雅貴, (中), 左打ち, 13試合, 打率0.194, 31打席, 6安打, 1本塁打, 1打点, 7三振, 長打率0.323
田中　浩康, (ヤ), 右打ち, 31試合, 打率0.188, 37打席, 6安打, 0本塁打, 1打点, 3三振, 長打率0.250
ジョンソン, (広), 左打ち, 26試合, 打率0.109, 66打席, 6安打, 0本塁打, 0打点, 20三振, 長打率0.127
辻　東倫, (巨), 左打ち, 15試合, 打率0.176, 40打席, 6安打, 0本塁打, 0打点, 12三振, 長打率0.235
井納　翔一, (デ), 右打ち, 23試合, 打率0.150, 48打席, 6安打, 0本塁打, 0打点, 14三振, 長打率0.175
後藤Ｇ武敏, (デ), 右打ち, 27試合, 打率0.261, 30打席, 6安打, 1本塁打, 6打点, 9三振, 長打率0.435
木下　拓哉, (中), 右打ち, 9試合, 打率0.278, 19打席, 5安打, 1本塁打, 2打点, 6三振, 長打率0.556
飛雄馬, (デ), 右打ち, 17試合, 打率0.143, 38打席, 5安打, 1本塁打, 1打点, 8三振, 長打率0.229
磯村　嘉孝, (広), 右打ち, 24試合, 打率0.161, 32打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.194
嶺井　博希, (デ), 両打ち, 11試合, 打率0.333, 17打席, 5安打, 0本塁打, 3打点, 2三振, 長打率0.400
山口　俊, (デ), 右打ち, 19試合, 打率0.116, 50打席, 5安打, 1本塁打, 4打点, 23三振, 長打率0.186
今永　昇太, (デ), 左打ち, 22試合, 打率0.139, 43打席, 5安打, 0本塁打, 1打点, 13三振, 長打率0.139
武内　晋一, (ヤ), 左打ち, 25試合, 打率0.250, 24打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.250
田口　麗斗, (巨), 左打ち, 26試合, 打率0.104, 56打席, 5安打, 0本塁打, 1打点, 16三振, 長打率0.104
藤井　亮太, (ヤ), 左打ち, 12試合, 打率0.200, 20打席, 4安打, 0本塁打, 0打点, 8三振, 長打率0.250
戸田　隆矢, (広), 左打ち, 17試合, 打率0.267, 15打席, 4安打, 0本塁打, 2打点, 7三振, 長打率0.267
緒方　凌介, (神), 左打ち, 21試合, 打率0.167, 25打席, 4安打, 0本塁打, 0打点, 6三振, 長打率0.208
黒田　博樹, (広), 右打ち, 24試合, 打率0.089, 52打席, 4安打, 0本塁打, 5打点, 21三振, 長打率0.111
吉見　一起, (中), 右打ち, 21試合, 打率0.118, 41打席, 4安打, 0本塁打, 1打点, 18三振, 長打率0.147
バルデス, (中), 左打ち, 20試合, 打率0.121, 39打席, 4安打, 1本塁打, 3打点, 14三振, 長打率0.242
松井　佑介, (中), 右打ち, 14試合, 打率0.190, 21打席, 4安打, 0本塁打, 0打点, 8三振, 長打率0.286
小川　泰弘, (ヤ), 右打ち, 25試合, 打率0.080, 54打席, 4安打, 1本塁打, 3打点, 26三振, 長打率0.160
寺内　崇幸, (巨), 右打ち, 55試合, 打率0.129, 33打席, 4安打, 0本塁打, 1打点, 11三振, 長打率0.161
山崎　晃大朗, (ヤ), 左打ち, 7試合, 打率0.167, 19打席, 3安打, 0本塁打, 0打点, 8三振, 長打率0.167
柴田　講平, (神), 左打ち, 10試合, 打率0.214, 17打席, 3安打, 0本塁打, 0打点, 3三振, 長打率0.286
岩貞　祐太, (神), 左打ち, 25試合, 打率0.071, 50打席, 3安打, 0本塁打, 1打点, 26三振, 長打率0.071
能見　篤史, (神), 左打ち, 26試合, 打率0.083, 49打席, 3安打, 0本塁打, 1打点, 20三振, 長打率0.083
廣岡　大志, (ヤ), 右打ち, 2試合, 打率0.429, 7打席, 3安打, 1本塁打, 3打点, 2三振, 長打率0.857
ネイラー, (中), 右打ち, 7試合, 打率0.250, 15打席, 3安打, 0本塁打, 0打点, 3三振, 長打率0.417
アンダーソン, (巨), 左打ち, 3試合, 打率0.250, 12打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.250
小熊　凌祐, (中), 右打ち, 14試合, 打率0.188, 19打席, 3安打, 0本塁打, 2打点, 9三振, 長打率0.250
大野　雄大, (中), 左打ち, 19試合, 打率0.091, 39打席, 3安打, 0本塁打, 1打点, 21三振, 長打率0.091
小笠原　慎之介, (中), 左打ち, 15試合, 打率0.176, 17打席, 3安打, 0本塁打, 0打点, 8三振, 長打率0.176
山中　浩史, (ヤ), 右打ち, 22試合, 打率0.073, 46打席, 3安打, 0本塁打, 1打点, 16三振, 長打率0.073
鈴木　尚広, (巨), 両打ち, 44試合, 打率0.300, 10打席, 3安打, 0本塁打, 1打点, 3三振, 長打率0.300
原　樹理, (ヤ), 右打ち, 13試合, 打率0.105, 20打席, 2安打, 0本塁打, 2打点, 4三振, 長打率0.158
森岡　良介, (ヤ), 左打ち, 26試合, 打率0.065, 33打席, 2安打, 0本塁打, 3打点, 8三振, 長打率0.097
久保　康友, (デ), 右打ち, 15試合, 打率0.074, 30打席, 2安打, 0本塁打, 1打点, 16三振, 長打率0.074
デイビーズ, (ヤ), 右打ち, 15試合, 打率0.100, 24打席, 2安打, 0本塁打, 0打点, 12三振, 長打率0.100
福井　優也, (広), 右打ち, 13試合, 打率0.077, 27打席, 2安打, 0本塁打, 0打点, 16三振, 長打率0.115
マイコラス, (巨), 右打ち, 14試合, 打率0.063, 36打席, 2安打, 1本塁打, 1打点, 17三振, 長打率0.188
今村　信貴, (巨), 左打ち, 16試合, 打率0.091, 24打席, 2安打, 0本塁打, 0打点, 9三振, 長打率0.091
友永　翔太, (中), 左打ち, 12試合, 打率0.222, 10打席, 2安打, 0本塁打, 0打点, 4三振, 長打率0.222
ヘーゲンズ, (広), 右打ち, 50試合, 打率0.143, 14打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.143
ジョーダン, (中), 左打ち, 22試合, 打率0.051, 41打席, 2安打, 0本塁打, 0打点, 20三振, 長打率0.051
松本　啓二朗, (デ), 左打ち, 11試合, 打率0.154, 14打席, 2安打, 0本塁打, 0打点, 0三振, 長打率0.154
砂田　毅樹, (デ), 左打ち, 17試合, 打率0.143, 16打席, 2安打, 0本塁打, 1打点, 8三振, 長打率0.143
秋山　拓巳, (神), 左打ち, 8試合, 打率1.000, 3打席, 2安打, 0本塁打, 0打点, 0三振, 長打率1.000
青柳　晃洋, (神), 右打ち, 13試合, 打率0.118, 19打席, 2安打, 0本塁打, 0打点, 9三振, 長打率0.176
三ツ俣　大樹, (中), 右打ち, 15試合, 打率0.125, 19打席, 2安打, 0本塁打, 0打点, 4三振, 長打率0.125
三浦　大輔, (デ), 右打ち, 3試合, 打率0.333, 6打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.333
ペトリック, (デ), 右打ち, 15試合, 打率0.154, 15打席, 2安打, 0本塁打, 2打点, 7三振, 長打率0.154
若松　駿太, (中), 右打ち, 19試合, 打率0.074, 35打席, 2安打, 0本塁打, 1打点, 12三振, 長打率0.074
岡田　明丈, (広), 左打ち, 18試合, 打率0.074, 29打席, 2安打, 0本塁打, 0打点, 13三振, 長打率0.074
内海　哲也, (巨), 左打ち, 18試合, 打率0.036, 35打席, 1安打, 0本塁打, 0打点, 18三振, 長打率0.036
岡本　和真, (巨), 右打ち, 3試合, 打率0.100, 10打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.200
北　篤, (巨), 左打ち, 3試合, 打率0.200, 7打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.200
小山　雄輝, (巨), 右打ち, 9試合, 打率0.500, 2打席, 1安打, 0本塁打, 1打点, 1三振, 長打率0.500
八木　智哉, (中), 左打ち, 1試合, 打率0.500, 2打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.500
大竹　寛, (巨), 右打ち, 17試合, 打率0.042, 31打席, 1安打, 0本塁打, 0打点, 11三振, 長打率0.042
成瀬　善久, (ヤ), 左打ち, 22試合, 打率0.059, 18打席, 1安打, 0本塁打, 1打点, 12三振, 長打率0.059
横山　雄哉, (神), 左打ち, 3試合, 打率0.167, 7打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.333
松井　雅人, (中), 左打ち, 4試合, 打率0.143, 7打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.143
福　敬登, (中), 左打ち, 27試合, 打率0.250, 4打席, 1安打, 0本塁打, 1打点, 3三振, 長打率0.250
中村　恭平, (広), 左打ち, 8試合, 打率0.100, 10打席, 1安打, 0本塁打, 0打点, 6三振, 長打率0.100
土生　翔平, (広), 左打ち, 5試合, 打率0.125, 9打席, 1安打, 0本塁打, 0打点, 1三振, 長打率0.125
薮田　和樹, (広), 右打ち, 16試合, 打率0.167, 7打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.167
九里　亜蓮, (広), 右打ち, 27試合, 打率0.056, 21打席, 1安打, 0本塁打, 0打点, 11三振, 長打率0.056
船越　涼太, (広), 右打ち, 1試合, 打率1.000, 1打席, 1安打, 0本塁打, 0打点, 0三振, 長打率1.000
石川　雅規, (ヤ), 左打ち, 20試合, 打率0.029, 39打席, 1安打, 0本塁打, 0打点, 12三振, 長打率0.029
杉浦　稔大, (ヤ), 右打ち, 17試合, 打率0.091, 16打席, 1安打, 0本塁打, 0打点, 7三振, 長打率0.091
柳田　殖生, (デ), 右打ち, 23試合, 打率0.048, 24打席, 1安打, 0本塁打, 0打点, 6三振, 長打率0.048
高木　勇人, (巨), 右打ち, 25試合, 打率0.034, 36打席, 1安打, 0本塁打, 0打点, 16三振, 長打率0.069
松井　淳, (ヤ), 左打ち, 2試合, 打率0.333, 5打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.333
由規, (ヤ), 左打ち, 5試合, 打率0.125, 9打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.125
モスコーソ, (デ), 右打ち, 13試合, 打率0.071, 23打席, 1安打, 0本塁打, 0打点, 7三振, 長打率0.071
竹下　真吾, (ヤ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
又吉　克樹, (中), 右打ち, 62試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
阿知羅　拓馬, (中), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　駿, (中), 右打ち, 2試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
伊藤　準規, (中), 左打ち, 6試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
福谷　浩司, (中), 右打ち, 41試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
八木　亮祐, (ヤ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩瀬　仁紀, (中), 左打ち, 15試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
館山　昌平, (ヤ), 右打ち, 10試合, 打率0.000, 14打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
雄太, (中), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山井　大介, (中), 右打ち, 33試合, 打率0.000, 12打席, 0安打, 0本塁打, 0打点, 7三振, 長打率0.000
久古　健太郎, (ヤ), 左打ち, 39試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
近藤　一樹, (ヤ), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
