筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
陽　岱鋼, (日), 右打ち, 130試合, 打率0.293, 555打席, 145安打, 14本塁打, 61打点, 121三振, 長打率0.430
田中　広輔, (広), 左打ち, 143試合, 打率0.265, 679打席, 154安打, 13本塁打, 39打点, 119三振, 長打率0.372
菊池　涼介, (広), 右打ち, 141試合, 打率0.315, 640打席, 181安打, 13本塁打, 56打点, 106三振, 長打率0.432
阿部　慎之助, (巨), 左打ち, 91試合, 打率0.310, 387打席, 104安打, 12本塁打, 52打点, 55三振, 長打率0.457
秋山　翔吾, (西), 左打ち, 143試合, 打率0.296, 671打席, 171安打, 11本塁打, 62打点, 103三振, 長打率0.422
福留　孝介, (神), 左打ち, 131試合, 打率0.311, 523打席, 141安打, 11本塁打, 59打点, 78三振, 長打率0.453
桑原　将志, (デ), 右打ち, 133試合, 打率0.284, 522打席, 131安打, 11本塁打, 49打点, 93三振, 長打率0.413
宮_　敏郎, (デ), 右打ち, 101試合, 打率0.291, 335打席, 88安打, 11本塁打, 36打点, 30三振, 長打率0.454
原口　文仁, (神), 右打ち, 107試合, 打率0.299, 364打席, 95安打, 11本塁打, 46打点, 52三振, 長打率0.453
クルーズ, (巨), 右打ち, 81試合, 打率0.252, 314打席, 75安打, 11本塁打, 37打点, 40三振, 長打率0.409
長野　久義, (巨), 右打ち, 143試合, 打率0.283, 618打席, 163安打, 11本塁打, 42打点, 78三振, 長打率0.403
森　友哉, (西), 左打ち, 107試合, 打率0.292, 392打席, 102安打, 10本塁打, 46打点, 96三振, 長打率0.436
ペゲーロ, (楽), 左打ち, 51試合, 打率0.279, 200打席, 51安打, 10本塁打, 26打点, 67三振, 長打率0.492
ナバーロ, (ロ), 右打ち, 82試合, 打率0.217, 340打席, 62安打, 10本塁打, 44打点, 64三振, 長打率0.350
長谷川　勇也, (ソ), 左打ち, 122試合, 打率0.271, 442打席, 105安打, 10本塁打, 51打点, 95三振, 長打率0.403
福田　永将, (中), 右打ち, 89試合, 打率0.267, 306打席, 72安打, 10本塁打, 37打点, 42三振, 長打率0.407
吉田　正尚, (オ), 左打ち, 63試合, 打率0.290, 258打席, 67安打, 10本塁打, 34打点, 34三振, 長打率0.494
今宮　健太, (ソ), 右打ち, 137試合, 打率0.245, 590打席, 122安打, 10本塁打, 56打点, 86三振, 長打率0.370
松山　竜平, (広), 左打ち, 103試合, 打率0.291, 275打席, 74安打, 10本塁打, 41打点, 29三振, 長打率0.465
アマダー, (楽), 右打ち, 39試合, 打率0.258, 138打席, 34安打, 9本塁打, 19打点, 32三振, 長打率0.515
島内　宏明, (楽), 左打ち, 114試合, 打率0.287, 388打席, 98安打, 9本塁打, 41打点, 48三振, 長打率0.404
角中　勝也, (ロ), 左打ち, 143試合, 打率0.339, 607打席, 178安打, 8本塁打, 69打点, 64三振, 長打率0.461
中島　宏之, (オ), 右打ち, 96試合, 打率0.290, 347打席, 91安打, 8本塁打, 47打点, 54三振, 長打率0.439
モレル, (オ), 右打ち, 94試合, 打率0.244, 348打席, 75安打, 8本塁打, 38打点, 88三振, 長打率0.364
_山　俊, (神), 左打ち, 134試合, 打率0.275, 530打席, 136安打, 8本塁打, 65打点, 109三振, 長打率0.391
ナニータ, (中), 左打ち, 92試合, 打率0.285, 340打席, 91安打, 8本塁打, 35打点, 52三振, 長打率0.411
西浦　直亨, (ヤ), 右打ち, 72試合, 打率0.255, 273打席, 63安打, 7本塁打, 28打点, 54三振, 長打率0.389
西田　明央, (ヤ), 右打ち, 74試合, 打率0.243, 245打席, 54安打, 7本塁打, 25打点, 39三振, 長打率0.419
江越　大賀, (神), 右打ち, 72試合, 打率0.209, 217打席, 40安打, 7本塁打, 20打点, 78三振, 長打率0.361
中村　晃, (ソ), 左打ち, 143試合, 打率0.287, 612打席, 140安打, 7本塁打, 50打点, 53三振, 長打率0.377
鳥谷　敬, (神), 左打ち, 143試合, 打率0.236, 533打席, 106安打, 7本塁打, 36打点, 80三振, 長打率0.323
雄平, (ヤ), 左打ち, 108試合, 打率0.296, 436打席, 122安打, 7本塁打, 55打点, 51三振, 長打率0.396
會澤　翼, (広), 右打ち, 83試合, 打率0.239, 220打席, 47安打, 7本塁打, 26打点, 42三振, 長打率0.381
茂木　栄五郎, (楽), 左打ち, 117試合, 打率0.278, 481打席, 118安打, 7本塁打, 40打点, 95三振, 長打率0.408
安部　友裕, (広), 左打ち, 115試合, 打率0.282, 292打席, 73安打, 6本塁打, 33打点, 64三振, 長打率0.429
岡島　豪郎, (楽), 左打ち, 127試合, 打率0.252, 485打席, 106安打, 6本塁打, 35打点, 49三振, 長打率0.345
堂上　直倫, (中), 右打ち, 131試合, 打率0.254, 507打席, 116安打, 6本塁打, 46打点, 69三振, 長打率0.362
白崎　浩之, (デ), 右打ち, 92試合, 打率0.207, 214打席, 42安打, 6本塁打, 12打点, 32三振, 長打率0.350
中村　奨吾, (ロ), 右打ち, 108試合, 打率0.201, 325打席, 56安打, 6本塁打, 25打点, 70三振, 長打率0.309
清田　育宏, (ロ), 右打ち, 106試合, 打率0.225, 417打席, 82安打, 6本塁打, 38打点, 76三振, 長打率0.326
鈴木　大地, (ロ), 左打ち, 143試合, 打率0.285, 583打席, 143安打, 6本塁打, 61打点, 56三振, 長打率0.389
城所　龍磨, (ソ), 左打ち, 84試合, 打率0.264, 162打席, 39安打, 6本塁打, 19打点, 45三振, 長打率0.439
西川　遥輝, (日), 左打ち, 138試合, 打率0.314, 593打席, 155安打, 5本塁打, 43打点, 113三振, 長打率0.398
大引　啓次, (ヤ), 右打ち, 100試合, 打率0.250, 391打席, 87安打, 5本塁打, 27打点, 82三振, 長打率0.345
エリアン, (デ), 両打ち, 79試合, 打率0.218, 274打席, 56安打, 5本塁打, 33打点, 57三振, 長打率0.339
下水流　昂, (広), 右打ち, 48試合, 打率0.250, 116打席, 26安打, 5本塁打, 18打点, 26三振, 長打率0.452
エルナンデス, (中), 両打ち, 64試合, 打率0.249, 256打席, 58安打, 5本塁打, 26打点, 61三振, 長打率0.365
大野　奨太, (日), 右打ち, 109試合, 打率0.245, 351打席, 69安打, 5本塁打, 35打点, 63三振, 長打率0.344
北條　史也, (神), 右打ち, 122試合, 打率0.273, 438打席, 105安打, 5本塁打, 33打点, 91三振, 長打率0.382
井口　資仁, (ロ), 右打ち, 79試合, 打率0.257, 176打席, 39安打, 5本塁打, 34打点, 50三振, 長打率0.408
吉村　裕基, (ソ), 右打ち, 78試合, 打率0.209, 206打席, 37安打, 5本塁打, 28打点, 46三振, 長打率0.328
ペレス, (楽), 左打ち, 24試合, 打率0.239, 93打席, 21安打, 5本塁打, 15打点, 29三振, 長打率0.432
ルナ, (広), 右打ち, 67試合, 打率0.272, 268打席, 66安打, 5本塁打, 34打点, 47三振, 長打率0.374
江川　智晃, (ソ), 右打ち, 42試合, 打率0.228, 138打席, 26安打, 4本塁打, 15打点, 44三振, 長打率0.386
高橋　周平, (中), 左打ち, 75試合, 打率0.251, 283打席, 64安打, 4本塁打, 29打点, 84三振, 長打率0.369
大田　泰示, (巨), 右打ち, 62試合, 打率0.202, 119打席, 23安打, 4本塁打, 13打点, 45三振, 長打率0.377
小林　誠司, (巨), 右打ち, 129試合, 打率0.204, 458打席, 81安打, 4本塁打, 35打点, 76三振, 長打率0.269
中谷　将大, (神), 右打ち, 64試合, 打率0.266, 163打席, 41安打, 4本塁打, 14打点, 49三振, 長打率0.390
鵜久森　淳志, (ヤ), 右打ち, 46試合, 打率0.257, 146打席, 35安打, 4本塁打, 19打点, 22三振, 長打率0.390
小谷野　栄一, (オ), 右打ち, 50試合, 打率0.249, 189打席, 44安打, 4本塁打, 13打点, 30三振, 長打率0.350
狩野　恵輔, (神), 右打ち, 66試合, 打率0.241, 95打席, 21安打, 3本塁打, 17打点, 18三振, 長打率0.356
三好　匠, (楽), 右打ち, 38試合, 打率0.222, 70打席, 14安打, 3本塁打, 6打点, 16三振, 長打率0.365
桂　依央利, (中), 右打ち, 59試合, 打率0.182, 164打席, 26安打, 3本塁打, 11打点, 38三振, 長打率0.280
亀井　善行, (巨), 左打ち, 66試合, 打率0.252, 240打席, 57安打, 3本塁打, 23打点, 35三振, 長打率0.354
荻野　貴司, (ロ), 右打ち, 71試合, 打率0.250, 219打席, 48安打, 3本塁打, 21打点, 25三振, 長打率0.365
杉山　翔大, (中), 右打ち, 104試合, 打率0.260, 311打席, 70安打, 3本塁打, 27打点, 60三振, 長打率0.357
今江　敏晃, (楽), 右打ち, 89試合, 打率0.281, 351打席, 89安打, 3本塁打, 23打点, 30三振, 長打率0.331
聖澤　諒, (楽), 左打ち, 94試合, 打率0.294, 229打席, 59安打, 3本塁打, 19打点, 41三振, 長打率0.388
飯原　誉士, (ヤ), 右打ち, 63試合, 打率0.224, 77打席, 15安打, 3本塁打, 9打点, 19三振, 長打率0.403
藤井　淳志, (中), 両打ち, 87試合, 打率0.216, 187打席, 36安打, 3本塁打, 19打点, 45三振, 長打率0.311
細谷　圭, (ロ), 右打ち, 116試合, 打率0.275, 404打席, 102安打, 3本塁打, 40打点, 93三振, 長打率0.383
大島　洋平, (中), 左打ち, 143試合, 打率0.292, 656打席, 175安打, 3本塁打, 27打点, 69三振, 長打率0.382
中村　悠平, (ヤ), 右打ち, 106試合, 打率0.187, 378打席, 60安打, 3本塁打, 37打点, 47三振, 長打率0.259
栗山　巧, (西), 左打ち, 135試合, 打率0.279, 569打席, 133安打, 3本塁打, 41打点, 87三振, 長打率0.369
_濱　卓也, (ロ), 左打ち, 53試合, 打率0.215, 158打席, 31安打, 3本塁打, 13打点, 30三振, 長打率0.319
坂田　遼, (西), 左打ち, 45試合, 打率0.245, 161打席, 37安打, 3本塁打, 26打点, 22三振, 長打率0.371
福田　秀平, (ソ), 左打ち, 81試合, 打率0.231, 239打席, 49安打, 3本塁打, 18打点, 51三振, 長打率0.335
新井　良太, (神), 右打ち, 46試合, 打率0.154, 88打席, 12安打, 3本塁打, 8打点, 21三振, 長打率0.308
伊藤　光, (オ), 右打ち, 80試合, 打率0.241, 203打席, 45安打, 3本塁打, 15打点, 36三振, 長打率0.326
ボグセビック, (オ), 左打ち, 60試合, 打率0.187, 193打席, 32安打, 3本塁打, 18打点, 48三振, 長打率0.322
ブランコ, (オ), 右打ち, 27試合, 打率0.218, 94打席, 17安打, 3本塁打, 13打点, 26三振, 長打率0.359
陽川　尚将, (神), 右打ち, 29試合, 打率0.167, 77打席, 12安打, 2本塁打, 4打点, 22三振, 長打率0.250
ヘイグ, (神), 右打ち, 31試合, 打率0.231, 124打席, 24安打, 2本塁打, 11打点, 21三振, 長打率0.346
外崎　修汰, (西), 右打ち, 37試合, 打率0.176, 57打席, 9安打, 2本塁打, 5打点, 11三振, 長打率0.294
内田　靖人, (楽), 右打ち, 17試合, 打率0.204, 58打席, 11安打, 2本塁打, 7打点, 27三振, 長打率0.389
根元　俊一, (ロ), 左打ち, 48試合, 打率0.215, 121打席, 23安打, 2本塁打, 12打点, 30三振, 長打率0.327
銀次, (楽), 左打ち, 125試合, 打率0.274, 497打席, 116安打, 2本塁打, 43打点, 49三振, 長打率0.333
小窪　哲也, (広), 右打ち, 69試合, 打率0.217, 107打席, 20安打, 2本塁打, 10打点, 23三振, 長打率0.402
堂林　翔太, (広), 右打ち, 47試合, 打率0.250, 60打席, 14安打, 2本塁打, 2打点, 11三振, 長打率0.357
近藤　健介, (日), 左打ち, 80試合, 打率0.265, 291打席, 68安打, 2本塁打, 27打点, 45三振, 長打率0.323
石川　雄洋, (デ), 左打ち, 95試合, 打率0.209, 329打席, 62安打, 2本塁打, 14打点, 67三振, 長打率0.269
橋本　到, (巨), 左打ち, 74試合, 打率0.233, 259打席, 51安打, 2本塁打, 20打点, 45三振, 長打率0.338
田中　賢介, (日), 左打ち, 143試合, 打率0.272, 626打席, 147安打, 2本塁打, 53打点, 56三振, 長打率0.312
片岡　治大, (巨), 右打ち, 32試合, 打率0.222, 93打席, 18安打, 2本塁打, 4打点, 8三振, 長打率0.333
堂上　剛裕, (巨), 左打ち, 43試合, 打率0.167, 53打席, 8安打, 2本塁打, 6打点, 11三振, 長打率0.333
立岡　宗一郎, (巨), 左打ち, 51試合, 打率0.229, 209打席, 43安打, 2本塁打, 9打点, 31三振, 長打率0.303
戸柱　恭孝, (デ), 左打ち, 124試合, 打率0.226, 393打席, 83安打, 2本塁打, 23打点, 63三振, 長打率0.264
中川　大志, (楽), 右打ち, 22試合, 打率0.203, 80打席, 15安打, 2本塁打, 18打点, 21三振, 長打率0.311
福田　将儀, (楽), 右打ち, 36試合, 打率0.200, 74打席, 12安打, 2本塁打, 8打点, 11三振, 長打率0.333
後藤　光尊, (楽), 左打ち, 50試合, 打率0.250, 138打席, 33安打, 2本塁打, 10打点, 30三振, 長打率0.341
嶋　基宏, (楽), 右打ち, 80試合, 打率0.271, 256打席, 54安打, 2本塁打, 17打点, 43三振, 長打率0.357
松井　稼頭央, (楽), 両打ち, 56試合, 打率0.213, 179打席, 34安打, 2本塁打, 13打点, 42三振, 長打率0.300
クラーク, (オ), 左打ち, 11試合, 打率0.172, 34打席, 5安打, 2本塁打, 4打点, 11三振, 長打率0.414
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
岡　大海, (日), 右打ち, 41試合, 打率0.374, 154打席, 49安打, 2本塁打, 12打点, 27三振, 長打率0.473
上本　博紀, (神), 右打ち, 45試合, 打率0.257, 113打席, 26安打, 2本塁打, 8打点, 14三振, 長打率0.386
井上　晴哉, (ロ), 右打ち, 35試合, 打率0.232, 107打席, 23安打, 2本塁打, 16打点, 19三振, 長打率0.343
_谷　裕亮, (ソ), 左打ち, 37試合, 打率0.247, 103打席, 20安打, 2本塁打, 16打点, 12三振, 長打率0.321
田村　龍弘, (ロ), 右打ち, 130試合, 打率0.256, 430打席, 95安打, 2本塁打, 38打点, 91三振, 長打率0.332
近藤　弘基, (中), 右打ち, 21試合, 打率0.186, 49打席, 8安打, 2本塁打, 4打点, 13三振, 長打率0.372
鶴岡　慎也, (ソ), 右打ち, 103試合, 打率0.251, 263打席, 58安打, 2本塁打, 26打点, 26三振, 長打率0.346
荒木　貴裕, (ヤ), 右打ち, 61試合, 打率0.243, 131打席, 27安打, 1本塁打, 9打点, 20三振, 長打率0.333
金子　侑司, (西), 両打ち, 129試合, 打率0.265, 520打席, 122安打, 1本塁打, 33打点, 69三振, 長打率0.311
畠山　和洋, (ヤ), 右打ち, 45試合, 打率0.245, 190打席, 40安打, 1本塁打, 18打点, 24三振, 長打率0.325
矢野　謙次, (日), 右打ち, 34試合, 打率0.207, 35打席, 6安打, 1本塁打, 8打点, 5三振, 長打率0.379
鬼_　裕司, (西), 左打ち, 79試合, 打率0.253, 216打席, 48安打, 1本塁打, 17打点, 53三振, 長打率0.332
枡田　慎太郎, (楽), 左打ち, 45試合, 打率0.278, 66打席, 15安打, 1本塁打, 6打点, 23三振, 長打率0.352
市川　友也, (日), 右打ち, 71試合, 打率0.165, 156打席, 22安打, 1本塁打, 12打点, 28三振, 長打率0.203
渡邉　諒, (日), 右打ち, 1試合, 打率0.333, 3打席, 1安打, 1本塁打, 1打点, 0三振, 長打率1.333
園部　聡, (オ), 右打ち, 16試合, 打率0.204, 57打席, 11安打, 1本塁打, 6打点, 24三振, 長打率0.315
ゴームズ, (楽), 右打ち, 18試合, 打率0.169, 75打席, 11安打, 1本塁打, 7打点, 22三振, 長打率0.246
坂本　誠志郎, (神), 右打ち, 28試合, 打率0.200, 55打席, 9安打, 1本塁打, 2打点, 14三振, 長打率0.356
井手　正太郎, (デ), 右打ち, 11試合, 打率0.259, 29打席, 7安打, 1本塁打, 4打点, 5三振, 長打率0.370
脇谷　亮太, (巨), 左打ち, 54試合, 打率0.157, 115打席, 17安打, 1本塁打, 7打点, 18三振, 長打率0.231
哲_, (楽), 右打ち, 11試合, 打率0.100, 21打席, 2安打, 1本塁打, 1打点, 6三振, 長打率0.250
上田　剛史, (ヤ), 左打ち, 72試合, 打率0.220, 92打席, 18安打, 1本塁打, 10打点, 13三振, 長打率0.305
小川　泰弘, (ヤ), 右打ち, 25試合, 打率0.080, 54打席, 4安打, 1本塁打, 3打点, 26三振, 長打率0.160
本多　雄一, (ソ), 左打ち, 110試合, 打率0.280, 388打席, 93安打, 1本塁打, 27打点, 51三振, 長打率0.322
川端　慎吾, (ヤ), 左打ち, 103試合, 打率0.302, 458打席, 127安打, 1本塁打, 32打点, 31三振, 長打率0.367
細川　亨, (ソ), 右打ち, 49試合, 打率0.226, 115打席, 21安打, 1本塁打, 6打点, 28三振, 長打率0.280
竹原　直隆, (西), 右打ち, 22試合, 打率0.200, 31打席, 6安打, 1本塁打, 6打点, 4三振, 長打率0.333
マイコラス, (巨), 右打ち, 14試合, 打率0.063, 36打席, 2安打, 1本塁打, 1打点, 17三振, 長打率0.188
炭谷　銀仁_, (西), 右打ち, 117試合, 打率0.218, 326打席, 64安打, 1本塁打, 22打点, 48三振, 長打率0.269
今浪　隆博, (ヤ), 左打ち, 94試合, 打率0.279, 240打席, 56安打, 1本塁打, 28打点, 25三振, 長打率0.368
飛雄馬, (デ), 右打ち, 17試合, 打率0.143, 38打席, 5安打, 1本塁打, 1打点, 8三振, 長打率0.229
谷口　雄也, (日), 左打ち, 83試合, 打率0.254, 211打席, 49安打, 1本塁打, 9打点, 48三振, 長打率0.306
後藤Ｇ武敏, (デ), 右打ち, 27試合, 打率0.261, 30打席, 6安打, 1本塁打, 6打点, 9三振, 長打率0.435
木下　拓哉, (中), 右打ち, 9試合, 打率0.278, 19打席, 5安打, 1本塁打, 2打点, 6三振, 長打率0.556
倉本　寿彦, (デ), 左打ち, 141試合, 打率0.294, 566打席, 157安打, 1本塁打, 38打点, 98三振, 長打率0.343
天谷　宗一郎, (広), 左打ち, 55試合, 打率0.175, 96打席, 14安打, 1本塁打, 8打点, 16三振, 長打率0.238
安達　了一, (オ), 右打ち, 118試合, 打率0.273, 488打席, 110安打, 1本塁打, 34打点, 53三振, 長打率0.323
谷内　亮太, (ヤ), 右打ち, 23試合, 打率0.300, 80打席, 21安打, 1本塁打, 6打点, 14三振, 長打率0.414
實松　一成, (巨), 右打ち, 19試合, 打率0.250, 33打席, 7安打, 1本塁打, 1打点, 7三振, 長打率0.393
荒木　雅博, (中), 右打ち, 93試合, 打率0.246, 321打席, 71安打, 1本塁打, 16打点, 39三振, 長打率0.291
オコエ　瑠偉, (楽), 右打ち, 51試合, 打率0.185, 130打席, 22安打, 1本塁打, 6打点, 27三振, 長打率0.294
淺間　大基, (日), 左打ち, 52試合, 打率0.191, 115打席, 21安打, 1本塁打, 9打点, 36三振, 長打率0.273
阿部　寿樹, (中), 右打ち, 25試合, 打率0.184, 53打席, 9安打, 1本塁打, 4打点, 10三振, 長打率0.265
バルデス, (中), 左打ち, 20試合, 打率0.121, 39打席, 4安打, 1本塁打, 3打点, 14三振, 長打率0.242
伊藤　隼太, (神), 左打ち, 29試合, 打率0.245, 54打席, 13安打, 1本塁打, 4打点, 11三振, 長打率0.340
井領　雅貴, (中), 左打ち, 13試合, 打率0.194, 31打席, 6安打, 1本塁打, 1打点, 7三振, 長打率0.323
上本　達之, (西), 左打ち, 67試合, 打率0.307, 98打席, 27安打, 1本塁打, 12打点, 23三振, 長打率0.386
駿太, (オ), 左打ち, 105試合, 打率0.192, 239打席, 41安打, 1本塁打, 9打点, 40三振, 長打率0.229
縞田　拓弥, (オ), 右打ち, 31試合, 打率0.167, 46打席, 7安打, 1本塁打, 3打点, 8三振, 長打率0.262
廣岡　大志, (ヤ), 右打ち, 2試合, 打率0.429, 7打席, 3安打, 1本塁打, 3打点, 2三振, 長打率0.857
乙坂　智, (デ), 左打ち, 55試合, 打率0.270, 124打席, 31安打, 1本塁打, 8打点, 28三振, 長打率0.374
足立　祐一, (楽), 右打ち, 73試合, 打率0.227, 208打席, 42安打, 1本塁打, 14打点, 36三振, 長打率0.270
森野　将彦, (中), 左打ち, 68試合, 打率0.268, 170打席, 38安打, 1本塁打, 15打点, 24三振, 長打率0.331
下園　辰哉, (デ), 左打ち, 67試合, 打率0.270, 85打席, 20安打, 1本塁打, 14打点, 13三振, 長打率0.338
山口　俊, (デ), 右打ち, 19試合, 打率0.116, 50打席, 5安打, 1本塁打, 4打点, 23三振, 長打率0.186
大和, (神), 右打ち, 111試合, 打率0.231, 259打席, 53安打, 1本塁打, 20打点, 53三振, 長打率0.323
_城　俊人, (デ), 右打ち, 47試合, 打率0.163, 103打席, 15安打, 0本塁打, 9打点, 31三振, 長打率0.185
須田　幸太, (デ), 右打ち, 62試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
砂田　毅樹, (デ), 左打ち, 17試合, 打率0.143, 16打席, 2安打, 0本塁打, 1打点, 8三振, 長打率0.143
柴田　竜拓, (デ), 左打ち, 19試合, 打率0.205, 46打席, 8安打, 0本塁打, 2打点, 8三振, 長打率0.256
白根　尚貴, (デ), 右打ち, 3試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
ザガースキー, (デ), 左打ち, 32試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
関根　大気, (デ), 左打ち, 70試合, 打率0.204, 106打席, 20安打, 0本塁打, 7打点, 18三振, 長打率0.235
小林　寛, (デ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岸里　亮佑, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山_　康晃, (デ), 右打ち, 59試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山下　幸輝, (デ), 左打ち, 62試合, 打率0.224, 100打席, 22安打, 0本塁打, 7打点, 18三振, 長打率0.265
鍵谷　陽平, (日), 右打ち, 48試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
柳田　殖生, (デ), 右打ち, 23試合, 打率0.048, 24打席, 1安打, 0本塁打, 0打点, 6三振, 長打率0.048
嶺井　博希, (デ), 両打ち, 11試合, 打率0.333, 17打席, 5安打, 0本塁打, 3打点, 2三振, 長打率0.400
加藤　貴之, (日), 左打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
モスコーソ, (デ), 右打ち, 13試合, 打率0.071, 23打席, 1安打, 0本塁打, 0打点, 7三振, 長打率0.071
濱田　達郎, (中), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
荒木　郁也, (神), 左打ち, 46試合, 打率0.246, 73打席, 14安打, 0本塁打, 2打点, 10三振, 長打率0.281
安藤　優也, (神), 右打ち, 50試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
秋山　拓巳, (神), 左打ち, 8試合, 打率1.000, 3打席, 2安打, 0本塁打, 0打点, 0三振, 長打率1.000
ロマック, (デ), 右打ち, 30試合, 打率0.113, 85打席, 8安打, 0本塁打, 2打点, 30三振, 長打率0.127
有原　航平, (日), 右打ち, 22試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
青柳　晃洋, (神), 右打ち, 13試合, 打率0.118, 19打席, 2安打, 0本塁打, 0打点, 9三振, 長打率0.176
三嶋　一輝, (デ), 両打ち, 4試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
西森　将司, (デ), 両打ち, 6試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
野川　拓斗, (デ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平田　真吾, (デ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
