竹下　真吾, (ヤ), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
松本　直晃, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
江柄子　裕樹, (巨), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 0HP, 防御率7.27, 勝率0.000
西原　圭大, (広), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率12.60, 勝率0.000
本田　圭佑, (西), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 0HP, 防御率7.71, 勝率0.000
乾　真大, (巨), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
誠, (西), 右投げ, 2試合, 0勝, 2敗, 0セーブ, 0HP, 防御率11.74, 勝率0.000
相原　和友, (楽), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率45.00, 勝率0.000
加治屋　蓮, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
寺田　哲也, (ヤ), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 1HP, 防御率27.00, 勝率0.000
國場　翼, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
大山　暁史, (オ), 左投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.08, 勝率0.000
三浦　大輔, (デ), 右投げ, 3試合, 0勝, 3敗, 0セーブ, 0HP, 防御率11.05, 勝率0.000
塹江　敦哉, (広), 左投げ, 3試合, 0勝, 1敗, 0セーブ, 0HP, 防御率11.37, 勝率0.000
セプティモ, (中), 左投げ, 3試合, 0勝, 1敗, 0セーブ, 0HP, 防御率4.26, 勝率0.000
横山　雄哉, (神), 左投げ, 3試合, 2勝, 0敗, 0セーブ, 0HP, 防御率2.93, 勝率1.000
徳山　武陽, (ヤ), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率12.46, 勝率0.000
長谷川　潤, (巨), 右投げ, 3試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.53, 勝率0.000
ミッシュ, (オ), 左投げ, 3試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.44, 勝率0.000
イ・デウン, (ロ), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 1HP, 防御率7.20, 勝率0.000
中島　彰吾, (ヤ), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
メンドーサ, (巨), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率11.25, 勝率0.000
岡本　篤志, (西), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.75, 勝率0.000
岡本　洋介, (西), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率19.29, 勝率0.000
南川　忠亮, (西), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.25, 勝率0.000
ウルフ, (西), 右投げ, 4試合, 4勝, 0敗, 0セーブ, 0HP, 防御率3.04, 勝率1.000
入野　貴大, (楽), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率12.27, 勝率0.000
大塚　尚仁, (楽), 左投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率10.80, 勝率0.000
山田　大樹, (ソ), 左投げ, 4試合, 1勝, 1敗, 0セーブ, 0HP, 防御率5.93, 勝率0.000
_木　伴, (オ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
田中　豊樹, (日), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
田面　巧二郎, (神), 右投げ, 4試合, 0勝, 1敗, 0セーブ, 1HP, 防御率6.23, 勝率0.000
レイ, (楽), 右投げ, 4試合, 0勝, 2敗, 0セーブ, 0HP, 防御率7.27, 勝率0.000
守屋　功輝, (神), 右投げ, 4試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.64, 勝率0.000
土肥　寛昌, (ヤ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.44, 勝率0.000
黒沢　翔太, (ロ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
小松　聖, (オ), 右投げ, 4試合, 0勝, 1敗, 0セーブ, 0HP, 防御率10.80, 勝率0.000
武藤　祐太, (中), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.38, 勝率0.000
三嶋　一輝, (デ), 右投げ, 4試合, 1勝, 1敗, 0セーブ, 0HP, 防御率3.75, 勝率0.000
新垣　勇人, (日), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.86, 勝率0.000
平田　真吾, (デ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率21.60, 勝率0.000
嘉弥真　新也, (ソ), 左投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.59, 勝率0.000
武田　久, (日), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率14.54, 勝率0.000
由規, (ヤ), 右投げ, 5試合, 2勝, 3敗, 0セーブ, 0HP, 防御率4.56, 勝率0.400
近藤　一樹, (オ), 右投げ, 5試合, 2勝, 2敗, 0セーブ, 0HP, 防御率8.24, 勝率0.000
ブロードウェイ, (デ), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
伊藤　和雄, (神), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.45, 勝率0.000
古谷　拓哉, (ロ), 左投げ, 5試合, 0勝, 4敗, 0セーブ, 0HP, 防御率8.84, 勝率0.000
川井　貴志, (楽), 左投げ, 5試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.22, 勝率0.000
佐藤　峻一, (オ), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
リズ, (楽), 右投げ, 5試合, 0勝, 3敗, 0セーブ, 1HP, 防御率6.94, 勝率0.000
ポレダ, (巨), 左投げ, 5試合, 1勝, 3敗, 0セーブ, 0HP, 防御率4.00, 勝率0.250
小野　淳平, (広), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.36, 勝率0.000
古川　侑利, (楽), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.71, 勝率0.000
石橋　良太, (楽), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
古野　正人, (ヤ), 右投げ, 6試合, 0勝, 2敗, 0セーブ, 0HP, 防御率9.45, 勝率0.000
福地　元春, (デ), 左投げ, 6試合, 0勝, 1敗, 0セーブ, 0HP, 防御率12.15, 勝率0.000
野川　拓斗, (デ), 左投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.57, 勝率0.000
伊藤　準規, (中), 右投げ, 6試合, 1勝, 2敗, 0セーブ, 0HP, 防御率6.05, 勝率0.333
長田　秀一郎, (デ), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
木村　優太, (ロ), 左投げ, 6試合, 0勝, 1敗, 0セーブ, 0HP, 防御率4.22, 勝率0.000
金田　和之, (神), 右投げ, 6試合, 1勝, 0敗, 0セーブ, 1HP, 防御率6.00, 勝率1.000
山本　翔也, (神), 左投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率5.40, 勝率0.000
岩田　稔, (神), 左投げ, 6試合, 0勝, 3敗, 0セーブ, 0HP, 防御率8.85, 勝率0.000
風張　蓮, (ヤ), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.10, 勝率0.000
新垣　渚, (ヤ), 右投げ, 6試合, 1勝, 2敗, 0セーブ, 0HP, 防御率6.67, 勝率0.333
豊田　拓矢, (西), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率1.50, 勝率0.000
横山　弘樹, (広), 右投げ, 6試合, 2勝, 2敗, 0セーブ, 0HP, 防御率5.47, 勝率0.000
ネイラー, (中), 右投げ, 7試合, 1勝, 2敗, 0セーブ, 0HP, 防御率4.62, 勝率0.333
_橋　朋己, (西), 左投げ, 7試合, 1勝, 0敗, 1セーブ, 4HP, 防御率1.69, 勝率1.000
チェン・グァンユウ, (ロ), 左投げ, 7試合, 1勝, 1敗, 0セーブ, 0HP, 防御率4.01, 勝率0.000
白仁田　寛和, (オ), 右投げ, 7試合, 0勝, 0敗, 0セーブ, 0HP, 防御率10.50, 勝率0.000
菊池　保則, (楽), 右投げ, 7試合, 1勝, 1敗, 0セーブ, 0HP, 防御率5.16, 勝率0.000
土田　瑞起, (巨), 右投げ, 7試合, 0勝, 0敗, 1セーブ, 0HP, 防御率6.48, 勝率0.000
佐藤　勇, (西), 左投げ, 7試合, 1勝, 3敗, 0セーブ, 0HP, 防御率5.76, 勝率0.250
攝津　正, (ソ), 右投げ, 7試合, 2勝, 2敗, 0セーブ, 0HP, 防御率5.59, 勝率0.000
中_　雄太, (西), 左投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
近藤　一樹, (ヤ), 右投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.18, 勝率0.000
江草　仁貴, (広), 左投げ, 8試合, 0勝, 0敗, 0セーブ, 1HP, 防御率6.00, 勝率0.000
中田　廉, (広), 右投げ, 8試合, 1勝, 1敗, 0セーブ, 2HP, 防御率16.62, 勝率0.000
秋山　拓巳, (神), 右投げ, 8試合, 1勝, 1敗, 0セーブ, 0HP, 防御率4.05, 勝率0.000
中村　恭平, (広), 左投げ, 8試合, 1勝, 1敗, 0セーブ, 0HP, 防御率5.40, 勝率0.000
矢貫　俊之, (巨), 右投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.61, 勝率0.000
ポーリーノ, (西), 右投げ, 9試合, 0勝, 6敗, 0セーブ, 0HP, 防御率4.70, 勝率0.000
歳内　宏明, (神), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 2HP, 防御率3.00, 勝率0.000
福原　忍, (神), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 4HP, 防御率5.06, 勝率0.000
宮川　将, (楽), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.93, 勝率0.000
藤岡　好明, (デ), 右投げ, 9試合, 0勝, 1敗, 0セーブ, 2HP, 防御率1.13, 勝率0.000
久保　裕也, (デ), 右投げ, 9試合, 0勝, 0敗, 0セーブ, 0HP, 防御率5.25, 勝率0.000
小山　雄輝, (巨), 右投げ, 9試合, 0勝, 1敗, 0セーブ, 1HP, 防御率4.85, 勝率0.000
バンヘッケン, (西), 左投げ, 10試合, 0勝, 4敗, 0セーブ, 0HP, 防御率6.31, 勝率0.000
石崎　剛, (神), 右投げ, 10試合, 0勝, 0敗, 0セーブ, 3HP, 防御率1.69, 勝率0.000
藤原　良平, (西), 右投げ, 10試合, 2勝, 0敗, 0セーブ, 3HP, 防御率2.08, 勝率1.000
館山　昌平, (ヤ), 右投げ, 10試合, 1勝, 4敗, 0セーブ, 1HP, 防御率7.24, 勝率0.200
斎藤　佑樹, (日), 右投げ, 11試合, 0勝, 1敗, 0セーブ, 0HP, 防御率4.56, 勝率0.000
東條　大樹, (ロ), 右投げ, 11試合, 0勝, 0敗, 0セーブ, 1HP, 防御率10.03, 勝率0.000
戸村　健次, (楽), 右投げ, 11試合, 1勝, 5敗, 0セーブ, 0HP, 防御率4.41, 勝率0.167
永川　勝浩, (広), 右投げ, 11試合, 2勝, 0敗, 0セーブ, 3HP, 防御率6.30, 勝率1.000
小野　郁, (楽), 右投げ, 11試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.78, 勝率0.000
ブリガム, (楽), 右投げ, 11試合, 0勝, 3敗, 0セーブ, 1HP, 防御率5.24, 勝率0.000
バリオス, (ソ), 右投げ, 11試合, 0勝, 2敗, 0セーブ, 3HP, 防御率7.82, 勝率0.000
香月　良仁, (ロ), 右投げ, 11試合, 0勝, 0敗, 0セーブ, 1HP, 防御率8.44, 勝率0.000
公文　克彦, (巨), 左投げ, 12試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.86, 勝率0.000
山田　修義, (オ), 左投げ, 12試合, 2勝, 7敗, 0セーブ, 0HP, 防御率4.94, 勝率0.222
郭　俊麟, (西), 右投げ, 12試合, 0勝, 3敗, 0セーブ, 0HP, 防御率8.46, 勝率0.000
青柳　晃洋, (神), 右投げ, 13試合, 4勝, 5敗, 0セーブ, 0HP, 防御率3.29, 勝率0.444
岡本　健, (ソ), 右投げ, 13試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.57, 勝率0.000
モスコーソ, (デ), 右投げ, 13試合, 5勝, 7敗, 0セーブ, 0HP, 防御率5.18, 勝率0.417
石山　泰稚, (ヤ), 右投げ, 13試合, 1勝, 0敗, 0セーブ, 2HP, 防御率7.31, 勝率1.000
バンデンハーク, (ソ), 右投げ, 13試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.84, 勝率0.700
濱矢　廣大, (楽), 左投げ, 13試合, 2勝, 0敗, 0セーブ, 3HP, 防御率10.24, 勝率1.000
阿部　和成, (ロ), 右投げ, 13試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.67, 勝率0.000
辛島　航, (楽), 左投げ, 13試合, 3勝, 7敗, 0セーブ, 0HP, 防御率3.88, 勝率0.300
福井　優也, (広), 右投げ, 13試合, 5勝, 4敗, 0セーブ, 0HP, 防御率4.34, 勝率0.556
コーディエ, (オ), 右投げ, 13試合, 0勝, 2敗, 2セーブ, 0HP, 防御率7.30, 勝率0.000
原　樹理, (ヤ), 右投げ, 13試合, 2勝, 8敗, 0セーブ, 0HP, 防御率5.91, 勝率0.200
阿知羅　拓馬, (中), 右投げ, 13試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.51, 勝率0.000
大嶺　祐太, (ロ), 右投げ, 14試合, 1勝, 3敗, 0セーブ, 1HP, 防御率6.49, 勝率0.250
高野　圭佑, (ロ), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 3HP, 防御率5.87, 勝率1.000
マイコラス, (巨), 右投げ, 14試合, 4勝, 2敗, 0セーブ, 0HP, 防御率2.45, 勝率0.667
岩橋　慶侍, (ヤ), 左投げ, 14試合, 0勝, 1敗, 0セーブ, 1HP, 防御率7.24, 勝率0.000
佐藤　優, (中), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 1HP, 防御率3.67, 勝率1.000
小熊　凌祐, (中), 右投げ, 14試合, 5勝, 2敗, 0セーブ, 1HP, 防御率2.80, 勝率0.714
寺原　隼人, (ソ), 右投げ, 14試合, 2勝, 1敗, 0セーブ, 4HP, 防御率4.05, 勝率0.667
小笠原　慎之介, (中), 左投げ, 15試合, 2勝, 6敗, 0セーブ, 0HP, 防御率3.36, 勝率0.250
久保　康友, (デ), 右投げ, 15試合, 5勝, 8敗, 0セーブ, 0HP, 防御率3.55, 勝率0.385
佐野　泰雄, (西), 左投げ, 15試合, 1勝, 1敗, 0セーブ, 1HP, 防御率3.29, 勝率0.000
安樂　智大, (楽), 右投げ, 15試合, 3勝, 5敗, 0セーブ, 0HP, 防御率3.42, 勝率0.375
岩瀬　仁紀, (中), 左投げ, 15試合, 0勝, 2敗, 0セーブ, 2HP, 防御率6.10, 勝率0.000
唐川　侑己, (ロ), 右投げ, 15試合, 6勝, 6敗, 0セーブ, 0HP, 防御率2.84, 勝率0.000
デイビーズ, (ヤ), 右投げ, 15試合, 4勝, 5敗, 0セーブ, 0HP, 防御率4.39, 勝率0.444
ペトリック, (デ), 右投げ, 15試合, 3勝, 2敗, 0セーブ, 0HP, 防御率5.51, 勝率0.600
薮田　和樹, (広), 右投げ, 16試合, 3勝, 1敗, 0セーブ, 1HP, 防御率2.61, 勝率0.750
榎下　陽大, (日), 右投げ, 16試合, 1勝, 0敗, 0セーブ, 1HP, 防御率3.58, 勝率1.000
岩崎　優, (神), 左投げ, 16試合, 3勝, 5敗, 0セーブ, 0HP, 防御率3.63, 勝率0.375
今村　信貴, (巨), 左投げ, 16試合, 3勝, 4敗, 0セーブ, 0HP, 防御率5.59, 勝率0.429
大原　慎司, (デ), 左投げ, 16試合, 0勝, 0敗, 0セーブ, 1HP, 防御率4.97, 勝率0.000
関谷　亮太, (ロ), 右投げ, 16試合, 5勝, 6敗, 0セーブ, 0HP, 防御率5.52, 勝率0.455
高宮　和也, (神), 左投げ, 16試合, 0勝, 1敗, 0セーブ, 1HP, 防御率6.39, 勝率0.000
岸田　護, (オ), 右投げ, 16試合, 0勝, 0敗, 0セーブ, 6HP, 防御率7.90, 勝率0.000
比嘉　幹貴, (オ), 右投げ, 16試合, 1勝, 1敗, 0セーブ, 6HP, 防御率4.82, 勝率0.000
杉浦　稔大, (ヤ), 右投げ, 17試合, 3勝, 2敗, 0セーブ, 0HP, 防御率7.14, 勝率0.600
大竹　寛, (巨), 右投げ, 17試合, 6勝, 6敗, 0セーブ, 0HP, 防御率3.55, 勝率0.000
大瀬良　大地, (広), 右投げ, 17試合, 3勝, 1敗, 0セーブ, 7HP, 防御率3.32, 勝率0.750
中田　賢一, (ソ), 右投げ, 17試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.01, 勝率0.700
山_　福也, (オ), 左投げ, 17試合, 3勝, 2敗, 0セーブ, 0HP, 防御率3.67, 勝率0.600
砂田　毅樹, (デ), 左投げ, 17試合, 2勝, 2敗, 0セーブ, 1HP, 防御率3.78, 勝率0.000
田中　靖洋, (ロ), 右投げ, 17試合, 0勝, 1敗, 0セーブ, 1HP, 防御率2.76, 勝率0.000
戸田　隆矢, (広), 左投げ, 17試合, 4勝, 0敗, 1セーブ, 2HP, 防御率2.80, 勝率1.000
多和田　真三郎, (西), 右投げ, 18試合, 7勝, 5敗, 0セーブ, 0HP, 防御率4.38, 勝率0.583
内海　哲也, (巨), 左投げ, 18試合, 9勝, 6敗, 0セーブ, 0HP, 防御率3.94, 勝率0.600
熊原　健人, (デ), 右投げ, 18試合, 1勝, 1敗, 0セーブ, 0HP, 防御率4.97, 勝率0.000
Ｃ．Ｃ．リー, (西), 右投げ, 18試合, 0勝, 0敗, 0セーブ, 1HP, 防御率6.48, 勝率0.000
岡田　明丈, (広), 右投げ, 18試合, 4勝, 3敗, 0セーブ, 1HP, 防御率3.02, 勝率0.571
中澤　雅人, (ヤ), 左投げ, 19試合, 1勝, 0敗, 0セーブ, 1HP, 防御率3.54, 勝率1.000
横山　貴明, (楽), 右投げ, 19試合, 0勝, 0敗, 0セーブ, 2HP, 防御率6.38, 勝率0.000
ペレス, (ヤ), 左投げ, 19試合, 2勝, 2敗, 0セーブ, 3HP, 防御率8.02, 勝率0.000
若松　駿太, (中), 右投げ, 19試合, 7勝, 8敗, 0セーブ, 1HP, 防御率4.06, 勝率0.467
大野　雄大, (中), 左投げ, 19試合, 7勝, 10敗, 0セーブ, 0HP, 防御率3.54, 勝率0.412
山口　俊, (デ), 右投げ, 19試合, 11勝, 5敗, 0セーブ, 0HP, 防御率2.86, 勝率0.688
バスケス, (西), 右投げ, 19試合, 0勝, 0敗, 0セーブ, 6HP, 防御率5.51, 勝率0.000
岸　孝之, (西), 右投げ, 19試合, 9勝, 7敗, 0セーブ, 0HP, 防御率2.49, 勝率0.563
小杉　陽太, (デ), 右投げ, 20試合, 0勝, 0敗, 0セーブ, 0HP, 防御率3.71, 勝率0.000
石川　雅規, (ヤ), 左投げ, 20試合, 8勝, 8敗, 0セーブ, 0HP, 防御率4.47, 勝率0.000
釜田　佳直, (楽), 右投げ, 20試合, 7勝, 5敗, 0セーブ, 0HP, 防御率4.14, 勝率0.583
バルデス, (中), 左投げ, 20試合, 6勝, 7敗, 0セーブ, 0HP, 防御率3.51, 勝率0.462
サターホワイト, (神), 右投げ, 20試合, 1勝, 1敗, 0セーブ, 7HP, 防御率2.57, 勝率0.000
十亀　剣, (西), 右投げ, 21試合, 4勝, 6敗, 0セーブ, 2HP, 防御率6.31, 勝率0.400
大谷　翔平, (日), 右投げ, 21試合, 10勝, 4敗, 0セーブ, 1HP, 防御率1.86, 勝率0.714
吉見　一起, (中), 右投げ, 21試合, 6勝, 7敗, 0セーブ, 0HP, 防御率3.08, 勝率0.462
白村　明弘, (日), 右投げ, 22試合, 3勝, 1敗, 0セーブ, 4HP, 防御率2.63, 勝率0.750
ジョーダン, (中), 左投げ, 22試合, 6勝, 6敗, 0セーブ, 0HP, 防御率4.24, 勝率0.000
二木　康太, (ロ), 右投げ, 22試合, 7勝, 9敗, 0セーブ, 0HP, 防御率5.34, 勝率0.438
山中　浩史, (ヤ), 右投げ, 22試合, 6勝, 12敗, 0セーブ, 0HP, 防御率3.54, 勝率0.333
今永　昇太, (デ), 左投げ, 22試合, 8勝, 9敗, 0セーブ, 0HP, 防御率2.93, 勝率0.471
松田　遼馬, (神), 右投げ, 22試合, 1勝, 0敗, 0セーブ, 2HP, 防御率1.00, 勝率1.000
野上　亮磨, (西), 右投げ, 22試合, 3勝, 9敗, 1セーブ, 1HP, 防御率3.87, 勝率0.250
野田　昇吾, (西), 左投げ, 22試合, 0勝, 0敗, 0セーブ, 4HP, 防御率3.93, 勝率0.000
有原　航平, (日), 右投げ, 22試合, 11勝, 9敗, 0セーブ, 0HP, 防御率2.94, 勝率0.550
菊池　雄星, (西), 左投げ, 22試合, 12勝, 7敗, 0セーブ, 0HP, 防御率2.58, 勝率0.632
_橋　光成, (西), 右投げ, 22試合, 4勝, 11敗, 0セーブ, 0HP, 防御率4.42, 勝率0.267
成瀬　善久, (ヤ), 左投げ, 22試合, 3勝, 2敗, 0セーブ, 0HP, 防御率5.60, 勝率0.600
石井　裕也, (日), 左投げ, 22試合, 0勝, 0敗, 0セーブ, 12HP, 防御率1.65, 勝率0.000
島本　浩也, (神), 左投げ, 23試合, 1勝, 0敗, 0セーブ, 3HP, 防御率3.65, 勝率1.000
石川　歩, (ロ), 右投げ, 23試合, 14勝, 5敗, 0セーブ, 0HP, 防御率2.16, 勝率0.737
